ID;Kategoria;Pytanie;Odpowiedz A;Odpowiedz B;Odpowiedz C;Odpowiedz D;Poprawna odpowiedz
381;Star Wars;Jaki tytuł nosił Palpatine zanim został Imperatorem?;Senator;Generał;Kanclerz;Gubernator;Kanclerz
382;Star Wars;Jak nazywa się droid astromechaniczny Poe Damerona?;R2-D2;BB-8;C-3PO;K-2SO;BB-8
383;Star Wars;Kto zabił Hana Solo?;Snoke;Kylo Ren;Generał Hux;Kapitan Phasma;Kylo Ren
384;Star Wars;Kto był pierwotnym właścicielem Sokoła Millennium przed Hanem?;Lando Calrissian;Chewbacca;Jabba the Hutt;Maz Kanata;Lando Calrissian
385;Star Wars;Kto szkolił Luke'a Skywalkera na Dagobah?;Obi-Wan Kenobi;Qui-Gon Jinn;Yoda;Maz Kanata;Yoda
386;Star Wars;Jak nazywa się ojciec Boby Fetta?;Jango Fett;Cody;Rex;Pre Vizsla;Jango Fett
387;Star Wars;Kto był dowódcą Separatystów (cyborgiem)?;Hrabia Dooku;Darth Maul;Generał Grievous;Asajj Ventress;Generał Grievous
388;Star Wars;Jakie imię przyjął Obi-Wan podczas wygnania na Tatooine?;Ben;Owen;Luke;Bail;Ben
389;Star Wars;Kto grał rolę Luke'a Skywalkera?;Harrison Ford;Mark Hamill;Ewan McGregor;Hayden Christensen;Mark Hamill
390;Star Wars;Jak nazywa się pustynne zwierzę, na którym jeżdżą Tuskeni?;Bantha;Dewback;Ronto;Eopie;Bantha
391;Star Wars;"Kto powiedział: ""To pułapka!"" (It's a trap!)?";Admirał Ackbar;Generał Madine;Mon Mothma;Lando Calrissian;Admirał Ackbar
392;Star Wars;"Jak nazywa się kasyno w ""Ostatnim Jedi""?";Canto Bight;Mos Eisley;Maz's Castle;Cloud City;Canto Bight
393;Star Wars;Kto zamroził Hana Solo w karbonicie?;Jabba the Hutt;Boba Fett;Darth Vader;Lando Calrissian;Darth Vader
394;Star Wars;Kto dowodził oddziałem klonów 501?;Kapitan Rex;Komandor Cody;Echo;Fives;Kapitan Rex
395;Star Wars;Jak nazywa się planeta-miasto?;Naboo;Alderaan;Coruscant;Corellia;Coruscant
396;Star Wars;Kto zabił Snoke'a?;Luke Skywalker;Rey;Kylo Ren;Generał Hux;Kylo Ren
397;Star Wars;Kto jest dziadkiem Kylo Rena?;Han Solo;Obi-Wan Kenobi;Anakin Skywalker;Palpatine;Anakin Skywalker
398;Star Wars;Jak nazywa się włochata rasa z księżyca Endor?;Wookiee;Ewoki;Jawowie;Gunganie;Ewoki
399;Star Wars;Kto był mistrzem Palpatine'a?;Darth Bane;Darth Plagueis;Darth Revan;Darth Malak;Darth Plagueis
400;Star Wars;Jak nazywa się planeta, na której Obi-Wan walczył z Anakinem?;Geonosis;Tatooine;Mustafar;Hoth;Mustafar
401;Star Wars;Kto adoptował Leię?;Bail Organa;Mon Mothma;Wilhuff Tarkin;Owen Lars;Bail Organa
402;Star Wars;"Kto był Wielkim Admirałem Imperium w serialu ""Rebelianci""?";Thrawn;Tarkin;Pryce;Gideon;Thrawn
403;Star Wars;Kto zabił Qui-Gon Jinna?;Hrabia Dooku;Darth Vader;Darth Maul;Generał Grievous;Darth Maul
404;Star Wars;Jak nazywa się ojciec Jyn Erso?;Galen Erso;Saw Gerrera;Cassian Andor;Bodhi Rook;Galen Erso
405;Star Wars;"Jak nazywa się droid z ""Łotra 1""?";C-3PO;K-2SO;IG-88;L3-37;K-2SO
406;Star Wars;"Kto był królową Naboo w ""Mrocznym Widmie""?";Leia;Padmé Amidala;Jamillia;Apailana;Padmé Amidala
407;Star Wars;Gdzie Luke Skywalker stracił rękę?;Na Hoth;Na Bespin;Na Endorze;Na Dagobah;Na Bespin
408;Star Wars;Jak nazywa się rasa Jar Jar Binksa?;Gungan;Ewok;Jawa;Mon Calamari;Gungan
409;Star Wars;"Kto był mistrzem Obi-Wana w ""Mrocznym Widmie""?";Yoda;Mace Windu;Qui-Gon Jinn;Hrabia Dooku;Qui-Gon Jinn
410;Star Wars;Jak nazywa się pustynna planeta, na której Rey zbierała złom?;Tatooine;Jakku;Geonosis;Savareen;Jakku
411;Star Wars;"Kto jest autorem muzyki do ""Gwiezdnych Wojen""?";Hans Zimmer;John Williams;Howard Shore;Michael Giacchino;John Williams
412;Star Wars;Jak nazywa się kryształ zasilający miecz świetlny?;Beskar;Kyber;Coaxium;Doonium;Kyber
413;Star Wars;"Kto powiedział ""Hello there"" (Witajcie) w ""Zemście Sithów""?";Anakin Skywalker;Generał Grievous;Obi-Wan Kenobi;Palpatine;Obi-Wan Kenobi
414;Star Wars;Jakie jest nazwisko rodowe Kylo Rena?;Skywalker;Organa;Solo;Palpatine;Solo
415;Harry Potter;Jaki rdzeń miała różdżka Harry'ego Pottera?;Włos z ogona jednorożca;Włókno ze smoczego serca;Pióro feniksa;Włos z głowy wili;Pióro feniksa
416;Harry Potter;Jak nazywała się wioska, w której mieszkali Potterowie?;Little Hangleton;Budleigh Babberton;Dolina Godryka;Ottery St. Catchpole;Dolina Godryka
417;Harry Potter;Kto podarował Harry'emu Błyskawicę (miotłę)?;Albus Dumbledore;Minerwa McGonagall;Syriusz Black;Remus Lupin;Syriusz Black
418;Harry Potter;Jakie jest drugie imię Harry'ego Pottera?;James;Albus;Syriusz;Artur;James
419;Harry Potter;Jak nazywa się kotka Argusa Filcha?;Pani Norris;Krzywołap;McGonagall;Norris;Pani Norris
420;Harry Potter;Jaki patronus należał do Severusa Snape'a?;Łania;Jeleń;Wydra;Pies;Łania
421;Harry Potter;Co trzeba powiedzieć, aby zamknąć Mapę Huncwotów?;Koniec psot;Mapa nieaktywna;Zamykam cię;Ukryj się;Koniec psot
422;Harry Potter;Kto był mistrzem eliksirów przed Snapem i po nim (ta sama osoba)?;Horacy Slughorn;Gilderoy Lockhart;Albus Dumbledore;Filius Flitwick;Horacy Slughorn
423;Harry Potter;Kto zabił Bellatriks Lestrange?;Ginny Weasley;Harry Potter;Molly Weasley;Hermiona Granger;Molly Weasley
424;Harry Potter;Jakie zwierzę było symbolem domu Ravenclaw (w herbie książkowym)?;Kruk;Orzeł;Borsuk;Wąż;Orzeł
425;Harry Potter;"Kto był dziewczyną Rona w ""Księciu Półkrwi""?";Hermiona Granger;Lavender Brown;Padma Patil;Pansy Parkinson;Lavender Brown
426;Harry Potter;Jak nazywa się zaklęcie otwierające zamki?;Accio;Lumos;Alohomora;Colloportus;Alohomora
427;Harry Potter;Jaki kolor mają iskry z różdżki przy zaklęciu Expelliarmus?;Zielony;Czerwony;Niebieski;Biały;Czerwony
428;Harry Potter;"Kto podszył się pod Szalonookiego Moody'ego w ""Czarze Ognia""?";Peter Pettigrew;Barty Crouch Senior;Barty Crouch Junior;Lucjusz Malfoy;Barty Crouch Junior
429;Harry Potter;Kto był kapitanem drużyny Quidditcha Gryffindoru w 1. roku Harry'ego?;Oliver Wood;Angelina Johnson;Charlie Weasley;Harry Potter;Oliver Wood
430;Harry Potter;Jak nazywa się ulica handlowa czarodziejów w Londynie?;Ulica Pokątna;Ulica Śmiertelnego Nokturnu;Privet Drive;Grimmauld Place;Ulica Pokątna
431;Harry Potter;Z czego składa się eliksir wielosokowy (jeden ze składników)?;Skóra wężslizga;Muchy siatkoskrzydłe;Krew smoka;Włos jednorożca;Muchy siatkoskrzydłe
432;Harry Potter;Kto uratował Harry'ego przed dementorami w 5. części (w tunelu)?;Harry Potter;Dumbledore;Pani Figg (była świadkiem);Remus Lupin;Harry Potter
433;Harry Potter;Jak nazywa się brat Dumbledore'a?;Aberforth;Ariana;Percival;Gellert;Aberforth
434;Harry Potter;Jak nazywa się najsłynniejszy sklep ze słodyczami w Hogsmeade?;Zoonko;Miodowe Królestwo;Trzy Miotły;Pod Świńskim Łbem;Miodowe Królestwo
435;Harry Potter;Kto zabił Syriusza Blacka?;Voldemort;Bellatriks Lestrange;Lucjusz Malfoy;Severus Snape;Bellatriks Lestrange
436;Harry Potter;Jaki przedmiot uczyła profesor Trelawney?;Transmutacja;Wróżbiarstwo;Mugoloznawstwo;Astronomia;Wróżbiarstwo
437;Harry Potter;Ile lat miał Harry, gdy dowiedział się, że jest czarodziejem?;10;11;12;13;11
438;Harry Potter;Jakie imię nosi skrzat domowy rodziny Blacków?;Zgredek;Stworek;Mrużka;Hokey;Stworek
439;Harry Potter;Co Harry musiał odzyskać od Slughorna w 6. części?;Eliksir Szczęścia;Wspomnienie o horkruksach;Różdżkę;Książkę do eliksirów;Wspomnienie o horkruksach
440;Harry Potter;Kto został dyrektorem Hogwartu po śmierci Dumbledore'a?;Minerwa McGonagall;Severus Snape;Dolores Umbridge;Alecto Carrow;Severus Snape
441;Harry Potter;Jaki jest numer skrytki, w której był Kamień Filozoficzny?;713;687;394;999;713
442;Harry Potter;Kto uczył latania na miotłach w 1. klasie?;Pani Hooch;Prof. McGonagall;Oliver Wood;Hagrid;Pani Hooch
443;Harry Potter;Jak nazywa się roślina, której krzyk może zabić?;Mandragora;Diabelskie Sidła;Wytrzeszcz;Czyrakobulwa;Mandragora
444;Harry Potter;Jak nazywa się zaklęcie, które przywołuje przedmioty?;Accio;Depulso;Wingardium Leviosa;Locomotor;Accio
445;Harry Potter;Jak nazywa się ulubiony dżem Dumbledore'a?;Truskawkowy;Malinowy;Agrestowy;Morelowy;Malinowy
446;Harry Potter;Jak nazywa się sowa Rona (mała)?;Hermes;Errol;Świstoświnka;Hedwiga;Świstoświnka
447;Harry Potter;Co robi zaklęcie Riddikulus?;Zabija pająki;Zmienia bogina w coś śmiesznego;Otwiera drzwi;Leczy rany;Zmienia bogina w coś śmiesznego
448;Harry Potter;Jaki przedmiot jest horkruksem, który Harry znalazł w Pokoju Życzeń?;Diadem Roweny Ravenclaw;Puchar Hufflepuff;Medalion Slytherina;Pierścień Gaunta;Diadem Roweny Ravenclaw
449;Harry Potter;Jak nazywa się zaklęcie torturujące?;Imperio;Avada Kedavra;Crucio;Sectumsempra;Crucio
450;Harry Potter;Jak nazywa się najwyższa wieża w Hogwarcie?;Wieża Astronomiczna;Wieża Gryffindoru;Wieża Zegarowa;Wieża Północna;Wieża Astronomiczna
451;Harry Potter;Kto dał Harry'emu Pelerynę Niewidkę?;Albus Dumbledore;Syriusz Black;Hagrid;McGonagall;Albus Dumbledore
452;Harry Potter;Jak nazywa się trzecie Insygnium Śmierci (oprócz Różdżki i Kamienia)?;Peleryna Niewidka;Miecz Gryffindora;Tiara Przydziału;Zmieniacz Czasu;Peleryna Niewidka
453;Harry Potter;Kto był bratem Syriusza Blacka?;Regulus Arcturus Black;Orion Black;Cygnus Black;Bellatrix Black;Regulus Arcturus Black
454;Harry Potter;Jak nazywa się najstarszy brat Rona?;Bill;Charlie;Percy;Fred;Bill
455;Harry Potter;Jak nazywa się pub, który jest wejściem na ulicę Pokątną?;Dziurawy Kocioł;Trzy Miotły;Pod Świńskim Łbem;Miodowe Królestwo;Dziurawy Kocioł
456;Harry Potter;Kto był dziewczyną Harry'ego w 5. części?;Cho Chang;Ginny Weasley;Hermiona Granger;Luna Lovegood;Cho Chang
457;Harry Potter;Jak nazywa się zaklęcie, które gasi światło różdżki?;Nox;Lumos;Accio;Reparo;Nox
458;Harry Potter;Kto zniszczył Nagini?;Neville Longbottom;Harry Potter;Ron Weasley;Hermiona Granger;Neville Longbottom
459;Harry Potter;Jak nazywa się pająk Hagrida?;Aragog;Mosag;Szeloba;Norbert;Aragog
460;Historia Świata;Podaj date rozpoczęcia się wojny na Ukrainie?;24 lutego 2022 roku;14 lutego 2021 roku;24 lutego 2021 roku;14 lutego 2022 roku;24 lutego 2022 roku
461;Historia Świata;Kto był pierwszym cesarzem Rzymu?;Juliusz Cezar;Neron;Oktawian August;Tyberiusz;Oktawian August
462;Historia Świata;Które wydarzenie bezpośrednio wywołało I wojnę światową?;Wojny bałkańskie;Zamach w Sarajewie;Kryzys marokański;Rewolucja w Rosji;Zamach w Sarajewie
463;Historia Świata;Kto był twórcą pierwszego spisanego kodeksu praw?;Hammurabi;Nabuchodonozor;Sargon Wielki;Ramzes II;Hammurabi
464;Historia Świata;W którym roku upadło Cesarstwo Zachodniorzymskie?;476 n.e.;395 n.e.;1453 n.e.;1054 n.e.;476 n.e.
465;Historia Świata;Kto wynalazł ruchomą czcionkę w Europie?;Leonardo da Vinci;Jan Gutenberg;Mikołaj Kopernik;Galileusz;Jan Gutenberg
466;Historia Świata;Bitwa pod Grunwaldem odbyła się w roku:;1410;1385;1525;1683;1410
467;Historia Świata;Rewolucja Francuska wybuchła w roku:;1776;1789;1815;1848;1789
468;Historia Świata;Kto był pierwszym prezydentem USA?;Thomas Jefferson;Benjamin Franklin;George Washington;Abraham Lincoln;George Washington
469;Historia Świata;W którym roku zakończyła się II wojna światowa w Europie?;1944;1945;1939;1950;1945
470;Historia Świata;Jak nazywał się przywódca powstania niewolników w starożytnym Rzymie?;Hannibal;Spartakus;Brutus;Cezar;Spartakus
471;Historia Świata;Bitwa pod Waterloo (ostateczna klęska Napoleona) miała miejsce w:;1805;1812;1815;1830;1815
472;Historia Świata;Cywilizacja Majów rozwijała się głównie na terenie obecnego:;Peru;Meksyku;Brazylii;Chile;Meksyku
473;Historia Świata;Wojna secesyjna w USA toczyła się w latach:;1861-1865;1775-1783;1914-1918;1812-1815;1861-1865
474;Historia Świata;Kto odkrył morską drogę do Indii?;Krzysztof Kolumb;Ferdynand Magellan;Vasco da Gama;Amerigo Vespucci;Vasco da Gama
475;Historia Świata;Jak nazywała się stolica Imperium Azteków?;Cuzco;Tenochtitlán;Machu Picchu;Chichén Itzá;Tenochtitlán
476;Historia Świata;Traktat wersalski kończący I wojnę światową podpisano w roku:;1917;1918;1919;1920;1919
477;Historia Świata;Kto był pierwszym carem Rosji?;Piotr Wielki;Iwan IV Groźny;Mikołaj II;Katarzyna Wielka;Iwan IV Groźny
478;Historia Świata;Jak nazywa się okres odrodzenia kultury antycznej w Europie?;Barok;Oświecenie;Renesans;Romantyzm;Renesans
479;Historia Świata;Kto dowodził wojskami kartagińskimi w II wojnie punickiej?;Scypion Afrykański;Hannibal;Pyrrus;Hamilkar;Hannibal
480;Historia Świata;Rewolucja Październikowa w Rosji miała miejsce w roku:;1905;1917;1922;1939;1917
481;Historia Świata;Kto był pierwszym cesarzem rzymskim?;Juliusz Cezar;Oktawian August;Neron;Marek Aureliusz;Oktawian August
482;Historia Świata;Jak nazywał się statek, którym pielgrzymi przypłynęli do Ameryki w 1620 r.?;Santa Maria;Mayflower;Victoria;Beagle;Mayflower
483;Historia Świata;Mur Berliński upadł w roku:;1980;1989;1991;1975;1989
484;Historia Świata;Wojna stuletnia toczyła się między:;Anglią a Francją;Hiszpanią a Portugalią;Polską a Zakonem;Rzymem a Kartaginą;Anglią a Francją
485;Historia Świata;Jak nazywała się żona Ludwika XVI, ścięta podczas rewolucji?;Katarzyna Medycejska;Maria Antonina;Maria Teresa;Elżbieta I;Maria Antonina
486;Historia Świata;"Kto namalował ""Mona Lisę""?";Michał Anioł;Rafael Santi;Leonardo da Vinci;Sandro Botticelli;Leonardo da Vinci
487;Historia Świata;W którym roku człowiek po raz pierwszy stanął na Księżycu?;1961;1969;1957;1975;1969
488;Historia Świata;Jak nazywała się bomba zrzucona na Hiroszimę?;Fat Man;Little Boy;Tsar Bomba;Trinity;Little Boy
489;Historia Świata;"Kto był autorem ""Komunistycznego Manifestu""?";Włodzimierz Lenin;Józef Stalin;Karol Marks i F. Engels;Lew Trocki;Karol Marks i F. Engels
490;Historia Świata;Kto był twórcą potęgi imperium mongolskiego?;Kubilaj-chan;Czyngis-chan;Tamerlan;Batu-chan;Czyngis-chan
491;Historia Świata;Kto był pierwszą kobietą, która otrzymała Nagrodę Nobla?;Maria Skłodowska-Curie;Matka Teresa;Selma Lagerlöf;Bertha von Suttner;Maria Skłodowska-Curie
492;Historia Świata;Czarna Śmierć (dżuma) spustoszyła Europę w wieku:;XII;XIV;XVI;XVIII;XIV
493;Historia Świata;Kto był przywódcą ZSRR podczas II wojny światowej?;Włodzimierz Lenin;Józef Stalin;Nikita Chruszczow;Michaił Gorbaczow;Józef Stalin
494;Historia Świata;W którym roku podpisano Deklarację Niepodległości USA?;1776;1789;1800;1750;1776
495;Historia Świata;Nelson Mandela był prezydentem:;Kenii;Nigerii;RPA;Egiptu;RPA
496;Historia Świata;Kto wynalazł żarówkę (przypisywane komercyjne wdrożenie)?;Nikola Tesla;Thomas Edison;Alexander Bell;Samuel Morse;Thomas Edison
497;Historia Świata;Kto był autorem teorii ewolucji?;Isaac Newton;Karol Darwin;Albert Einstein;Ludwik Pasteur;Karol Darwin
498;Historia Świata;Kiedy wybuchła I wojna światowa?;1912;1914;1918;1939;1914
499;Historia Świata;Jak nazywał się legendarny założyciel Rzymu?;Remus;Romulus;Eneasz;Cezar;Romulus
500;Historia Świata;Kto był przywódcą Rewolucji Kubańskiej?;Che Guevara;Fidel Castro;Fulgencio Batista;Hugo Chavez;Fidel Castro
501;Historia Świata;Kto był pierwszym człowiekiem w kosmosie?;Neil Armstrong;Jurij Gagarin;John Glenn;Buzz Aldrin;Jurij Gagarin
502;Historia Świata;W którym roku upadł Konstantynopol (Koniec Bizancjum)?;1096;1204;1453;1529;1453
503;Historia Świata;Jak nazywała się żelazna dama brytyjskiej polityki?;Królowa Wiktoria;Elżbieta II;Margaret Thatcher;Theresa May;Margaret Thatcher
504;Historia Świata;Kto dowodził wojskami polskimi pod Wiedniem w 1683?;Stefan Batory;Jan III Sobieski;Władysław IV;Józef Piłsudski;Jan III Sobieski
505;Historia Świata;Jak nazywa się święta księga islamu?;Tora;Biblia;Koran;Wedy;Koran
506;Historia Świata;Jak nazywała się operacja inwazji Niemiec na ZSRR?;Operacja Lew Morski;Operacja Barbarossa;Operacja Overlord;Operacja Market Garden;Operacja Barbarossa
507;Historia Świata;W którym roku powstało NATO?;1945;1949;1955;1960;1949
508;Historia Świata;"Kto był autorem ""Boskiej Komedii""?";Petrarka;Boccaccio;Dante Alighieri;Machiavelli;Dante Alighieri
509;Historia Świata;Jak nazywał się słynny szlak handlowy łączący Chiny z Europą?;Szlak Bursztynowy;Jedwabny Szlak;Szlak Solny;Droga Królewska;Jedwabny Szlak
510;Historia Świata;Kto był przywódcą Solidarności w Polsce?;Lech Wałęsa;Tadeusz Mazowiecki;Andrzej Gwiazda;Anna Walentynowicz;Lech Wałęsa
511;Historia Świata;W którym roku wybuchło Powstanie Warszawskie?;1939;1943;1944;1945;1944
512;Historia Świata;Jak nazywał się system segregacji rasowej w RPA?;Apartheid;Segregacja;Getto;Caste System;Apartheid
513;Historia Świata;Kto był pierwszym królem Polski?;Mieszko I;Bolesław Chrobry;Kazimierz Wielki;Władysław Łokietek;Bolesław Chrobry
514;Historia Świata;W którym roku nastąpił chrzest Polski?;960;966;1000;1025;966
515;Historia Świata;Jak nazywała się policja polityczna w ZSRR (jedna z nazw)?;SS;Gestapo;NKWD;Stasi;NKWD
516;Historia Świata;W którym roku odbył się Zjazd Gnieźnieński?;966;997;1000;1025;1000
517;Historia Świata;Kto był przywódcą Włoch faszystowskich?;Benito Mussolini;Francisco Franco;Antonio Salazar;Adolf Hitler;Benito Mussolini
518;Historia Świata;Kto odkrył penicylinę?;Ludwik Pasteur;Alexander Fleming;Maria Curie;Robert Koch;Alexander Fleming
519;Historia Świata;Kto był ostatnim carem Rosji?;Aleksander III;Mikołaj II;Piotr III;Paweł I;Mikołaj II
520;Historia Świata;Kto był twórcą imperium Macedońskiego?;Filip II;Aleksander Wielki;Perykles;Leonidas;Aleksander Wielki
521;Historia Świata;Jak nazywa się bogini zwycięstwa w mitologii greckiej?;Atena;Afrodyta;Nike;Hera;Nike
522;Historia Świata;Traktat z Maastricht (1992) powołał do życia:;NATO;ONZ;Unię Europejską;Radę Europy;Unię Europejską
523;Ciekawostki;Ile serc ma ośmiornica?;1;2;3;4;3
524;Ciekawostki;Jaki kolor ma pot hipopotama?;Żółty;Czerwony;Zielony;Niebieski;Czerwony
525;Ciekawostki;Ile czasu trwała najkrótsza wojna w historii (Zanzibar vs Wielka Brytania)?;38 minut;2 godziny;1 dzień;3 dni;38 minut
526;Ciekawostki;Jaki owoc jest botanicznie jagodą, a truskawka nie?;Jabłko;Banan;Brzoskwinia;Malina;Banan
527;Ciekawostki;Które państwo ma najwięcej piramid na świecie?;Egipt;Meksyk;Sudan;Peru;Sudan
528;Ciekawostki;Jaki kolor ma zachód słońca na Marsie?;Czerwony;Fioletowy;Niebieski;Zielony;Niebieski
529;Ciekawostki;"Czego boi się osoba cierpiąca na ""hipopotomonstrosesquipedaliofobia""?";Hipopotamów;Wody;Długich słów;Ciemności;Długich słów
530;Ciekawostki;Ile czasu zajmuje światłu słonecznemu dotarcie do Ziemi?;5 sekund;8 minut 20 sekund;1 godzina;6 minut 34 sekudy;8 minut 20 sekund
531;Ciekawostki;Jaki kształt ma kupa wombata?;Kuli;Sześcianu;Piramidy;Walca;Sześcianu
532;Ciekawostki;Jakie zwierzę jest w logo przeglądarki Firefox?;Lis;Panda ruda;Szop;Wilk;Panda ruda
533;Ciekawostki;Co jest najsilniejszym mięśniem w ciele człowieka (pod względem siły nacisku)?;Biceps;Serce;Żwacz (szczęka);Język;Żwacz (szczęka)
534;Ciekawostki;Ile waży chmura (przeciętny cumulus)?;<1g;1 kg;500 ton;5 ton;500 ton
535;Ciekawostki;Co dzieje się z wieżą Eiffla latem?;Kurczy się;Rośnie o ok. 15 cm;Przechyla się na wschód;Zmienia kolor;Rośnie o ok. 15 cm
536;Ciekawostki;Kto ma więcej kręgów szyjnych: żyrafa czy człowiek?;Żyrafa;Człowiek;Mają tyle samo;Żyrafa nie ma kręgów;Mają tyle samo
537;Ciekawostki;Jaki kolor ma krew homara?;Czerwony;Niebieski;Zielony;Czarny;Niebieski
538;Ciekawostki;Ile wynosi rekord wstrzymania oddechu pod wodą (statyczny)?;około 5 minut;około 15 minut;około 30 minut;około 1 godziny;około 30 minut
539;Ciekawostki;Który kraj ma najwięcej wysp?;Indonezja;Filipiny;Szwecja;Grecja;Szwecja
540;Ciekawostki;Jaki ptak potrafi latać do tyłu?;Wróbel;Orzeł;Koliber;Jaskółka;Koliber
541;Ciekawostki;Jaka planeta kręci się w przeciwną stronę niż pozostałe?;Mars;Jowisz;Wenus;Neptun;Wenus
542;Ciekawostki;"Co to jest ""aglet""?";Mała sowa;Skuwka na końcu sznurowadła;Rodzaj makaronu;Część ucha;Skuwka na końcu sznurowadła
543;Ciekawostki;Ile trwa ciąża u słonia afrykańskiego?;9 miesięcy;12 miesięcy;18 miesięcy;22 miesiące;22 miesiące
544;Ciekawostki;"Co to jest ""bambus""?";Drzewo;Krzew;Trawa;Paproć;Trawa
545;Ciekawostki;Jaki jest najpopularniejszy napój na świecie (po wodzie)?;Cola;Kawa;Herbata;Sok pomarańczowy;Herbata
546;Ciekawostki;Ile klawiszy ma standardowy fortepian?;66;88;100;50;88
547;Ciekawostki;"Jaki kolor ma ""czarna skrzynka"" w samolocie?";Czarny;Pomarańczowy;Żółty;Niebieski;Pomarańczowy
548;Ciekawostki;Który zmysł rozwija się pierwszy u człowieka?;Wzrok;Słuch;Dotyk;Smak;Dotyk
549;Ciekawostki;Kto był pierwszym prezydentem Polski po 1989?;Lech Wałęsa;Wojciech Jaruzelski;Aleksander Kwaśniewski;Lech Kaczyński;Wojciech Jaruzelski
550;Ciekawostki;Jaki kolor ma szmaragd?;Czerwony;Zielony;Niebieski;Żółty;Zielony
551;Święta;Z jakiego kraju wywodzi się tradycja ubierania choinki?;Z Rosji;Z Niemiec;Z USA;Z Francji;Z Niemiec
552;Święta;Jak ma na imię pies Grincha?;Max;Rex;Bud;Sam;Max
553;Święta;W którym roku piosenka „Last Christmas” zespołu Wham! miała swoją premierę?;1980;1984;1988;1991;1984
554;Święta;Jak nazywa się tradycyjna śląska zupa wigilijna z piernika, piwa i bakalii?;Kutia;Moczka;Siemieniotka;Garus;Moczka
555;Święta;W filmie „Kevin sam w domu”, dokąd rodzina McCallisterów leci na święta, zostawiając Kevina?;Do Paryża;Do Londynu;Do Rzymu;Na Florydę;Do Paryża
556;Święta;Co symbolizuje sianko pod obrusem?;Ubóstwo, w jakim narodził się Jezus;Przyszłe bogactwo gospodarzy;Pomyślność w hodowli zwierząt;Oczekiwanie na Trzech Króli;Ubóstwo, w jakim narodził się Jezus
557;Święta;Ile reniferów ciągnie sanie Świętego Mikołaja (wliczając Rudolfa)?;6;8;9;12;9
558;Święta;Z czego tradycyjnie robi się kutię?;Z ryżu i miodu;Z kaszy gryczanej i rodzynek;Z pszenicy, maku i miodu;Z pęczaku i orzechów;Z pszenicy, maku i miodu
559;Święta;Kto napisał „Opowieść wigilijną”?;Mark Twain;Charles Dickens;Hans Christian Andersen;J.R.R. Tolkien;Charles Dickens
560;Święta;Co oznacza słowo „Adwent”?;Oczekiwanie / Przyjście;Post;Radość;Narodzenie;Oczekiwanie / Przyjście
561;Święta;Jak nazywa się popularne włoskie ciasto świąteczne w kształcie wysokiej babki?;Tiramisu;Cannoli;Panettone;Panna Cotta;Panettone
562;Święta;Jak nazywa się główny bohater filmu „Szklana pułapka”?;John Rambo;John McClane;Martin Riggs;Jack Slater;John McClane
563;Święta;Jak nazywa się dzień po Bożym Narodzeniu w Wielkiej Brytanii (26 grudnia)?;Second Christmas;Boxing Day;St. Stephen's Day;Present Day;Boxing Day
564;Święta;W filmie „W krzywym zwierciadle: Witaj, Święty Mikołaju”, co Clark Griswold planował kupić za premię świąteczną?;Nowy samochód;Basen;Wycieczkę dookoła świata;Dom letniskowy;Basen
565;Święta;Który kraj podarował Wielkiej Brytanii choinkę stojącą na Trafalgar Square (co roku)?;Szwecja;Norwegia;Dania;Finlandia;Norwegia
566;Święta;Dlaczego, według przesądu, chowa się łuskę karpia do portfela?;Żeby nie zgubić portfela;Żeby przyciągnąć pieniądze;Żeby mieć szczęście w miłości;Żeby być zdrowym;Żeby przyciągnąć pieniądze
567;Święta;Co oznacza skrót „K+M+B” pisany kredą na drzwiach (według interpretacji łacińskiej)?;Kacper, Melchior, Baltazar;Niech Chrystus błogosławi ten dom;Król, Mesjasz, Bóg;Kochajmy, Módlmy się, Błogosławmy;Christus Mansionem Benedicat (Niech Chrystus błogosławi ten dom)
568;Święta;Jak nazywa się żydowskie święto obchodzone w okresie zbliżonym do Bożego Narodzenia?;Jom Kippur;Rosz ha-Szana;Pascha;Chanuka;Chanuka
569;Święta;Jak nazywa się złodziejski duet w „Kevin sam w domu”?;Mokrzy Bandyci;Lepcy Bandyci;Nocni Złodzieje;Świąteczni Złodzieje;Mokrzy Bandyci
570;Święta;Kto napisał muzykę do baletu „Dziadek do orzechów”?;Fryderyk Chopin;Piotr Czajkowski;Ludwig van Beethoven;Wolfgang Amadeusz Mozart;Piotr Czajkowski
571;Święta;Jak nazywa się ciasto świąteczne popularne w Niemczech (z dużą ilością bakalii)?;Strucla;Sernik;Szarlotka;Baumkuchen;Strucla (Stollen)
572;Święta;W którym filmie o Jamesie Bondzie pojawia się postać Dr. Christmas Jones?;GoldenEye;Jutro nie umiera nigdy;Świat to za mało;Śmierć nadejdzie jutro;Świat to za mało
573;Święta;Co oznaczają cztery świece na wieńcu adwentowym?;Cztery pory roku;Cztery strony świata;Cztery niedziele adwentu;Czterech ewangelistów;Cztery niedziele adwentu
574;Święta;Co robimy 2 lutego w kościele katolickim, co kończy okres śpiewania kolęd?;Święcimy jajka;Święcimy gromnice;Sypiemy głowy popiołem;Idziemy z palmami;Święcimy gromnice
575;Święta;W jakim filmie Arnold Schwarzenegger walczy o figurkę Turbo-Mana?;Świąteczna gorączka (Jingle All the Way);Bliźniacy;Gliniarz w przedszkolu;Junior;Świąteczna gorączka (Jingle All the Way)
